Date,Open,High,Low,Close,Volume,time
2013-06-10,530.9699707,533.15002441,524.55999756,524.55999756,94172000,1370829600
2013-06-11,525.20001221,525.67999268,520.94000244,521.95001221,68047000,1370916000
2013-06-12,521.21002197,524.90997314,518.23999023,518.23999023,70558000,1371002400
2013-06-13,518.2800293,519.53997803,510.07000732,515.09002686,62542000,1371088800
2013-06-14,517.14001465,518.0,509.02999878,509.02999878,60674000,1371175200
2013-06-17,510.51998901,511.23001099,498.30999756,498.51998901,75810000,1371434400
2013-06-18,497.05999756,500.54000854,495.5,498.88000488,55766000,1371520800
2013-06-19,501.57998657,504.10998535,500.60998535,503.36999512,43058000,1371607200
2013-06-20,502.22000122,503.75,498.54998779,499.51000977,49469000,1371693600
2013-06-21,497.29998779,501.25,495.23001099,498.83999634,94145000,1371780000
2013-06-24,500.44000244,501.14001465,487.41000366,489.73999023,58309000,1372039200
2013-06-25,487.04000854,488.54998779,466.77999878,473.01998901,86820000,1372125600
2013-06-26,473.26000977,476.47000122,466.41000366,473.52999878,66676000,1372212000
2013-06-27,476.32998657,482.95001221,475.0,482.95001221,46020000,1372298400
2013-06-28,484.83999634,485.94000244,479.94000244,481.13000488,62412000,1372384800
2013-07-01,478.98001099,482.02999878,475.26000977,480.04000854,35055000,1372644000
2013-07-02,480.72000122,490.14001465,480.72000122,489.83999634,37836000,1372730400
2013-07-03,489.83999634,492.92999268,487.10998535,487.3500061,45910000,1372816800
2013-07-04,489.23001099,490.6499939,486.48999023,487.22000122,39430000,1372903200
2013-07-05,488.05999756,489.98999023,485.22000122,485.66000366,38315000,1372989600
2013-07-08,485.23999023,485.95001221,480.57998657,482.76998901,40645000,1373248800
2013-07-09,483.95999146,485.5,481.14001465,485.5,29844000,1373335200
2013-07-10,487.80999756,489.82998657,484.42999268,484.42999268,32642000,1373421600
2013-07-11,484.38000488,485.44000244,482.10998535,484.47000122,35042000,1373508000
2013-07-12,485.14001465,493.98999023,485.13000488,493.98999023,51911000,1373594400
2013-07-15,496.11999512,498.32000732,492.95001221,494.1000061,43476000,1373853600
2013-07-16,494.66000366,497.82998657,493.73999023,496.22000122,42316000,1373940000
2013-07-17,496.38000488,498.42001343,493.36999512,497.5,42124000,1374026400
2013-07-18,495.67999268,500.51000977,494.23001099,496.83999634,53152000,1374112800
2013-07-19,499.64001465,505.38000488,499.27999878,503.76000977,48106000,1374199200
2013-07-22,505.10998535,507.70999146,501.63000488,506.16000366,54393000,1374458400
2013-07-23,506.16000366,508.64001465,504.22000122,504.29000854,53032000,1374544800
2013-07-24,503.67001343,504.26998901,493.35998535,494.17999268,60420000,1374631200
2013-07-25,493.75,495.8500061,491.70999146,491.77999878,42246000,1374717600
2013-07-26,493.5,495.16000366,487.92001343,493.92999268,43407000,1374804000
2013-07-29,493.80999756,494.35998535,485.55999756,485.69000244,32826000,1375063200
2013-07-30,485.77999878,490.35998535,485.73999023,488.54000854,30659000,1375149600
2013-07-31,488.1000061,493.1000061,487.1000061,491.8500061,41623000,1375236000
2013-08-01,490.8999939,494.30999756,489.57000732,492.42999268,31502000,1375322400
2013-08-02,493.32998657,495.70999146,493.01998901,494.66000366,26274000,1375408800
2013-08-05,494.38000488,496.73999023,492.75,493.66000366,29582000,1375668000
2013-08-06,492.69000244,496.55999756,491.91000366,496.55999756,34417000,1375754400
2013-08-07,496.95001221,502.26000977,495.01998901,500.1000061,40448000,1375840800
2013-08-08,499.52999878,503.51000977,497.04998779,498.22000122,28326000,1375927200
2013-08-09,498.88000488,502.04000854,498.88000488,500.61999512,28096000,1376013600
2013-08-12,501.3500061,501.39001465,497.52999878,499.45999146,31953000,1376272800
2013-08-13,499.45999146,502.63000488,497.3999939,497.73001099,36520000,1376359200
2013-08-14,498.51000977,503.89001465,496.3500061,503.57000732,35781000,1376445600
2013-08-15,505.02999878,509.6000061,505.02999878,508.22000122,63488000,1376532000
2013-08-16,508.22000122,510.22000122,505.48001099,507.79000854,60576000,1376618400
2013-08-19,507.26998901,513.34002686,507.16000366,511.01998901,61780000,1376877600
2013-08-20,509.58999634,510.58999634,504.10998535,504.80999756,65901000,1376964000
2013-08-21,504.76998901,504.77999878,497.01000977,502.70001221,53824000,1377050400
2013-08-22,499.82000732,503.92001343,494.3999939,496.11999512,53025000,1377136800
